DateTime,PromMin,PromMax,AromMin,AromMax,APromMin,APromMax
2026-09-04T09:29:58,-67.022,69.412,-34.467,42.216,-63.000,65.377
2026-09-05T10:48:22,-63.633,66.853,-27.436,36.492,-59.639,63.928
2026-09-05T10:48:23,-63.633,66.853,-27.436,36.492,-59.639,63.928
2026-09-05T12:53:42,-66.762,61.840,-24.954,27.049,-62.023,57.241
2026-09-07T09:02:17,-69.581,69.609,-38.475,27.127,-66.431,-44.494
2026-09-07T09:02:43,-69.581,69.609,-38.475,27.127,-68.738,65.095
