:Device: PLUTO
:Location: vellore
:User: devmode2
:Mechanism: WFE
:Game: HAT-TRICK
:TrialType: SR85PCTRAIN
:TrialStartTime: 2026-09-10T11:31:08
:TrialNumberDay: 4
:AROM: [-3.80,6.28]
:PROM: [-53.42,67.20]
:APROM: [-52.42,64.02]
DeviceRunTime,PacketNumber,Status,DataType,ErrorStatus,ControlType,Calibration,Mechanism,Button,Angle,Torque,Desired,Control,ControlBound,ControlDir,Target,Error,ErrorDiff,ErrorSum,GamePlayerX,GamePlayerY,GameTargetX,GameTargetY,GameState,AanTargetPosition,AanInitialPosition,AanState,Annotation,Miscellaneous
10822.365000,9231,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078911,410.000000,1.000000,0,999.000000,0,0,0,1075.000,490.000,850.075,131.371,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.370000,9232,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078911,410.000000,1.000000,0,999.000000,0,0,0,1075.000,490.000,850.075,131.371,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.376000,9233,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078911,410.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,131.371,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.381000,9234,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078911,410.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,131.371,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.386000,9235,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078903,370.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.392000,9236,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078880,330.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.397000,9237,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078842,290.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.402000,9238,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078766,250.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.407000,9239,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078674,210.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.413000,9240,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078552,170.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.418000,9241,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078362,130.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.423000,9242,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.078156,90.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.429000,9243,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.077896,50.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.434000,9244,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.077522,10.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.439000,9245,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.077156,-30.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.445000,9246,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.076622,-70.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.450000,9247,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.076004,-110.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.455000,9248,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.075401,-150.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,139.903,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.460000,9249,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.074730,-190.000000,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,146.663,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
